ProductName,SKU,Price,Description
Café Racer Jacket,ACC-001,89.99,Classic café racer style
Björk Edition Tee,TEE-001,29.99,Inspired by nordic design
Ñoño Artisan Soap,SPA-001,12.99,Handmade artisan soap
Größe XL Hoodie,HOD-001,49.99,Premium oversized hoodie
Crème Brûlée Kit,KIT-001,34.99,Professional dessert kit
Naïve Art Print,ART-001,19.99,Hand-drawn naïve art style
São Paulo Blend,COF-001,24.99,Single origin coffee blend
Düsseldorf Lager,BEV-001,8.99,German-style lager
Résumé Template,DIG-001,4.99,Professional résumé design
Mañana Planner,PLA-001,14.99,Daily mañana habit planner
Über Comfort Pillow,PIL-001,39.99,Über soft memory foam
Ångström Ruler,RUL-001,7.99,Precision measurement tool
